AT1G03150	NAA20
AT1G04167	araport11
AT1G03160	FZL
AT1G03165	araport11
AT1G04173	araport11
AT1G03170	FAF2
AT1G03180	araport11
AT1G03190	XPD
AT1G04177	araport11
AT1G03200	araport11
AT1G03210	araport11
AT1G03220	araport11
AT1G03230	araport11
AT1G03240	araport11
AT1G03250	araport11
AT1G03260	araport11
AT1G03270	CBSDUF4
AT1G03280	araport11
AT1G03290	araport11
AT1G03300	DUF1
AT1G03310	ISA2
AT1G03320	araport11
AT1G03325	araport11
AT1G03330	LSM2
AT1G03340	araport11
AT1G03350	araport11
AT1G03360	RRP4
AT1G03365	RF4
AT1G03370	araport11
AT1G03380	ATG18G
AT1G03390	araport11
AT1G03395	araport11
AT1G03400	araport11
AT1G03410	2A6
AT1G04183	araport11
AT1G03430	AHP5
AT1G03440	araport11
AT1G03445	BSU1
AT1G03457	araport11
AT1G03470	NET3A
AT1G03475	CPX1
AT1G03490	NAC006
AT1G03495	araport11
AT1G04187	araport11
AT1G04193	araport11
AT1G03502	araport11
AT1G03506	araport11
AT1G04197	araport11
AT1G03510	PCMP-E3
AT1G03515	araport11
AT1G03520	araport11
AT1G03530	ATNAF1
AT1G03540	PCMP-E4
AT1G03550	SCAMP2
AT1G03545	araport11
AT1G03560	araport11
AT1G03570	araport11
AT1G03590	PPC6-6
AT1G03600	PSB27-1
AT1G03610	araport11
AT1G03620	araport11
AT1G03630	PORC
AT1G03640	araport11
AT1G03650	araport11
AT1G03660	araport11
AT1G04203	araport11
AT1G03670	araport11
AT1G03680	ATHM1
AT1G03687	araport11
AT1G03700	araport11
AT1G03710	araport11
AT1G03720	araport11
AT1G04207	araport11
AT1G03730	araport11
AT1G03740	araport11
AT1G04213	araport11
AT1G03743	araport11
AT1G03746	araport11
AT1G03750	SWI2
AT1G03760	araport11
AT1G03770	RING1B
AT1G03780	TPX2
AT1G03790	SOM
AT1G03800	ERF10
AT1G03810	araport11
AT1G03820	araport11
AT1G03830	araport11
AT1G03840	MGP
AT1G03850	araport11
AT1G03860	PHB2
AT1G03870	FLA9
AT1G03880	CRB
AT1G03890	CRD
AT1G03900	ATNAP4
AT1G03905	ABCI19
AT1G03910	CTN
AT1G03920	araport11
AT1G03930	CKL9
AT1G04217	araport11
AT1G03935	araport11
AT1G04223	araport11
AT1G03940	3AT1
AT1G04227	araport11
AT1G03950	VPS2.3
AT1G03960	B''EPSILON
AT1G03970	GBF4
AT1G04233	araport11
AT1G03980	ATPCS2
AT1G03982	RIC8
AT1G03990	FAO1
AT1G04000	araport11
AT1G04010	PSAT
AT1G04020	ATBARD1
AT1G04030	araport11
AT1G04040	araport11
AT1G04237	araport11
AT1G04050	SUVR1
AT1G04070	TOM9-1
AT1G04080	PRP39
AT1G04090	araport11
AT1G04100	IAA10
AT1G04105	araport11
AT1G04110	SBT1.2
AT1G04120	ABCC5
AT1G04243	araport11
AT1G04130	TPR2
AT1G04140	araport11
AT1G04150	araport11
AT1G04160	XI-B
AT1G04170	EIF2
AT1G04180	YUC9
AT1G04190	TPR3
AT1G04200	araport11
AT1G04210	araport11
AT1G04220	KCS2
AT1G04247	araport11
AT1G04230	araport11
AT1G04240	SHY2
AT1G04253	araport11
AT1G04250	IAA17
AT1G04260	PRA1D
AT1G04270	RPS15A
AT1G04280	araport11
AT1G04290	araport11
AT1G04295	araport11
AT1G04300	TRAF1B
AT1G04310	ERS2
AT1G04320	araport11
AT1G04330	araport11
AT1G04340	araport11
AT1G04350	araport11
AT1G04360	ATL1
AT1G04370	ERF14
AT1G04380	araport11
AT1G04257	araport11
AT1G04390	araport11
AT1G04400	CRY2
AT1G04410	MDH1
AT1G04420	araport11
AT1G04425	araport11
AT1G04430	araport11
AT1G04440	CKL13
AT1G04445	araport11
AT1G04450	RIC3
AT1G04455	araport11
AT1G04470	araport11
AT1G04263	araport11
AT1G04480	RPL23A
AT1G04267	araport11
AT1G04273	araport11
AT1G04277	araport11
AT1G04490	araport11
AT1G04500	araport11
AT1G04510	PRP19A
AT1G04520	CRRSP3
AT1G04530	TPR4
AT1G04540	araport11
AT1G04550	IAA12
AT1G04555	araport11
AT1G04560	araport11
AT1G04570	araport11
AT1G04580	AAO4
AT1G04590	araport11
AT1G04600	XI-A
AT1G04610	YUC3
AT1G04620	HCAR
AT1G04625	araport11
AT1G04630	MEE4
AT1G04635	EMB1687
AT1G04640	LIP2
AT1G04645	SPH5
AT1G04650	araport11
AT1G04283	araport11
AT1G04660	araport11
AT1G04670	araport11
AT1G04680	araport11
AT1G04690	KAB1
AT1G04700	araport11
AT1G04710	KAT1
AT1G04720	araport11
AT1G04730	CTF18
AT1G04750	VAMP721
AT1G04287	araport11
AT1G04760	VAMP726
AT1G04770	araport11
AT1G04778	araport11
AT1G04780	araport11
AT1G04790	araport11
AT1G04800	araport11
AT1G04810	RPN2B
AT1G04820	TUBA4
AT1G04830	araport11
AT1G04840	PCMP-H64
AT1G04850	araport11
AT1G04860	UBP2
AT1G04870	PRMT10
AT1G04880	HMGB15
AT1G04890	araport11
AT1G04293	araport11
AT1G04895	araport11
AT1G04900	araport11
AT1G04297	araport11
AT1G04910	OFUT1
AT1G04303	araport11
AT1G04920	SPS3
AT1G04930	araport11
AT1G04945	araport11
AT1G04940	TIC20-I
AT1G04950	TAF6
AT1G04960	araport11
AT1G04970	araport11
AT1G04980	PDIL2-2
AT1G04985	araport11
AT1G04990	araport11
AT1G05000	araport11
AT1G05005	araport11
AT1G04307	araport11
AT1G05010	ACO4
AT1G05020	AP180
AT1G05030	araport11
AT1G04313	araport11
AT1G05035	araport11
AT1G04323	araport11
AT1G05040	araport11
AT1G05055	GTF2H2
AT1G05060	araport11
AT1G05065	CLE20
AT1G05070	araport11
AT1G05080	araport11
AT1G05085	araport11
AT1G04327	araport11
AT1G04333	araport11
AT1G05087	araport11
AT1G05090	araport11
AT1G05100	MAPKKK18
AT1G05120	araport11
AT1G05136	araport11
AT1G05140	ARASP2
AT1G05150	araport11
AT1G05160	KAO1
AT1G05170	B3GALT2
AT1G04337	araport11
AT1G05180	AXR1
AT1G05190	RPL6
AT1G05200	GLR3.4
AT1G04343	araport11
AT1G05205	araport11
AT1G04347	araport11
AT1G05210	araport11
AT1G05220	araport11
AT1G04353	araport11
AT1G05230	HDG2
AT1G05240	PER2
AT1G04357	araport11
AT1G04363	araport11
AT1G04367	araport11
AT1G05250	PER2
AT1G05260	PER3
AT1G05270	araport11
AT1G05280	araport11
AT1G04373	araport11
AT1G05290	araport11
AT1G05291	araport11
AT1G04377	araport11
AT1G04383	araport11
AT1G04387	araport11
AT1G05300	ZIP5
AT1G05310	PME8
AT1G05320	araport11
AT1G05330	araport11
AT1G05340	araport11
AT1G05350	araport11
AT1G05360	KMS2
AT1G05370	araport11
AT1G05380	araport11
AT1G05385	PSB27-2
AT1G05390	araport11
AT1G05400	araport11
AT1G05410	araport11
AT1G05420	ATOFP12
AT1G05430	araport11
AT1G05440	araport11
AT1G05450	araport11
AT1G05460	SDE3
AT1G05470	IP5P6
AT1G05490	CLSY3
AT1G05500	SYT5
AT1G05510	OBAP1A
AT1G05520	araport11
AT1G05530	UGT75B2
AT1G05540	araport11
AT1G05550	araport11
AT1G05562	araport11
AT1G05560	UGT1
AT1G05570	CALS1
AT1G04393	araport11
AT1G04397	araport11
AT1G05575	araport11
AT1G05577	araport11
AT1G05580	CHX23
AT1G05590	HEXO2
AT1G05600	araport11
AT1G05610	APS2
AT1G05615	araport11
